PUNJAB,Barnala,595527,317522,278005,359831,201999,157832,192001,101569,90432,0,0,0,209331,178163,31168,186434,22897,386196,60340,40460,5132,103399,112859,13100,622,467751,108,246,481,360
CHANDIGARH,Chandigarh,1055450,580663,474787,805438,465346,340092,199086,106356,92730,0,0,0,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014
UTTARAKHAND,Uttarkashi,330086,168597,161489,215126,128237,86889,80567,40833,39734,3512,1651,1861,157276,84265,73011,128367,28909,172810,117264,4387,3122,32503,324859,3554,353,167,563,74,105,411
UTTARAKHAND,Chamoli,391605,193991,197614,280556,155395,125161,79317,39718,39599,12260,6021,6239,180940,93832,87108,115115,65825,210665,121157,3845,5384,50554,385818,4395,428,323,190,11,23,417
UTTARAKHAND,Rudraprayag,242285,114589,127696,170933,91803,79130,47679,23585,24094,386,217,169,113032,52339,60693,78950,34082,129253,83155,3200,2112,24565,240170,1486,171,38,9,4,44,363
UTTARAKHAND,Tehri Garhwal,618931,297986,320945,407994,227406,180588,102130,50371,51759,875,459,416,280442,140821,139621,165912,114530,338489,187121,8129,4021,81171,609835,7374,656,290,32,91,109,544
UTTARAKHAND,Dehradun,1696694,892199,804495,1259506,702216,557290,228901,120430,108471,111663,58264,53399,582768,458834,123934,488161,94607,1113926,77176,38195,22992,444405,1424916,202057,13416,36454,11778,5117,217,2739
UTTARAKHAND,Garhwal,687271,326829,360442,494889,262148,232741,122361,59842,62519,2215,1174,1041,274152,147373,126779,164439,109713,413119,150607,13715,5635,104195,660507,22931,2161,619,58,212,51,732
UTTARAKHAND,Pithoragarh,483439,239306,244133,345550,189623,155927,120378,60111,60267,19535,9558,9977,216490,113539,102951,145481,71009,266949,137332,5432,6055,67671,475105,6015,1401,260,185,13,30,430
UTTARAKHAND,Bageshwar,259898,124326,135572,179483,97546,81937,72061,35623,36438,1982,971,1011,123638,58708,64930,78085,45553,136260,85125,8985,2991,26537,257509,1440,397,46,102,7,16,381
UTTARAKHAND,Almora,622506,291081,331425,436497,231604,204893,150995,72695,78300,1281,633,648,298211,142460,155751,201078,97133,324295,207617,10274,4312,76008,611250,7752,1895,256,201,31,6,1115
UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,47383,24188,23195,1339,777,562,99566,60427,39139,62698,36868,160082,59993,4032,1570,33971,249563,8693,870,336,24,28,6,128
UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,191206,98824,92382,7495,3801,3694,376181,256935,119246,296424,79757,578424,137530,34742,9767,194142,809717,120742,5091,17419,570,356,181,529
UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,238264,124385,113879,123037,61758,61279,591458,444578,146880,450762,140696,1057444,122686,165250,26396,277126,1104452,372267,6064,162768,505,738,159,1949
UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,411274,217981,193293,6323,3385,2938,578121,497810,80311,495152,82969,1312301,93660,103115,19955,361391,1214935,648119,4878,17364,709,2501,46,1870
HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,101830,53868,47962,0,0,0,211479,164865,46614,182831,28648,349814,26682,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882
HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,296246,156874,139372,0,0,0,372139,320120,52019,319475,52664,756211,52871,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868
HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,306743,163200,143543,0,0,0,389233,342343,46890,339024,50209,824972,61516,73251,12287,242179,984929,138569,3646,84455,161,1555,126,764
HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,215128,113311,101817,0,0,0,336780,268556,68224,285904,50876,627875,68908,85890,6726,175256,805175,15970,1943,140395,214,375,106,477
HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,247513,131486,116027,0,0,0,373899,292696,81203,290663,83236,700405,128016,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539
HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,339604,179681,159923,0,0,0,516062,411646,104416,411533,104529,989262,112288,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319
HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,206213,109695,96518,0,0,0,412318,328667,83651,339016,73302,793119,72120,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519
HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,269935,144516,125419,0,0,0,523179,391085,132094,396763,126416,926822,142344,101733,18184,260918,1390149,45100,1405,4484,336,6033,29,2465
HARYANA,Jind,1334152,713006,621146,832758,502049,330709,282351,150940,131411,0,0,0,523422,368277,155145,385851,137571,810730,230387,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653
HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,286258,82825,572928,132250,97997,6558,132278,779243,8360,996,150969,171,1172,530,570
HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,387381,202430,184951,0,0,0,502003,369462,132541,399169,102834,793186,164297,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012
HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,531227,160394,1052310,261120,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018
HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,445675,177331,1011439,288543,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329
HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,216889,115573,101316,0,0,0,345967,272646,73321,288949,57018,715237,95732,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769
HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,170448,90856,79592,0,0,0,326534,250020,76514,246457,80077,631871,112389,44845,9254,160046,945693,8247,734,1042,105,645,22,1917
HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,156314,82420,73894,0,0,0,338584,232935,105649,212402,126182,583504,149146,38320,7639,143479,913251,5660,301,1737,75,644,15,405
HARYANA,Rewari,900332,474335,425997,636947,375453,261494,182606,95571,87035,0,0,0,337727,235326,102401,250219,87508,562605,102698,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242
HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,487441,57275,969716,56046,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318
HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,75251,39743,35508,0,0,0,289964,224642,65322,204178,85786,799299,104237,55278,6023,124426,221846,862647,1235,592,516,1453,4,970
HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,495316,83913,1230504,27705,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559
HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,203123,107741,95382,0,0,0,309563,241464,68099,216932,92631,733145,91506,60685,8566,148806,826342,208566,932,3971,345,915,20,1617
NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,697237,371546,325691,0,0,0,1188545,1022419,166126,1135126,53419,2467994,11433,13289,35896,1127927,3211042,291330,14100,92129,2281,43460,345,1852
NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,165663,87007,78656,0,0,0,296446,257575,38871,283583,12863,591532,2187,1791,11028,281440,726443,119792,7256,19066,1824,13049,81,467
